card,cash_type,coffee_name,date,datetime,money
ANON-0000-0000-0001,card,Latte,2024-03-01,2024-03-01 10:15:50.520,38.7
ANON-0000-0000-0002,card,Hot Chocolate,2024-03-01,2024-03-01 12:19:22.539,38.7
ANON-0000-0000-0002,card,Hot Chocolate,2024-03-01,2024-03-01 12:20:18.089,38.7
ANON-0000-0000-0003,card,Americano,2024-03-01,2024-03-01 13:46:33.006,28.9
ANON-0000-0000-0004,card,Latte,2024-03-01,2024-03-01 13:48:14.626,38.7
ANON-0000-0000-0005,card,Americano with Milk,2024-03-01,2024-03-01 15:39:47.726,33.8
ANON-0000-0000-0006,card,Hot Chocolate,2024-03-01,2024-03-01 16:19:02.756,38.7
ANON-0000-0000-0007,card,Americano with Milk,2024-03-01,2024-03-01 18:39:03.580,33.8
ANON-0000-0000-0008,card,Cocoa,2024-03-01,2024-03-01 19:22:01.762,38.7
ANON-0000-0000-0008,card,Americano with Milk,2024-03-01,2024-03-01 19:23:15.887,33.8
ANON-0000-0000-0009,card,Americano with Milk,2024-03-01,2024-03-01 19:29:17.391,33.8
ANON-0000-0000-0010,card,Americano,2024-03-02,2024-03-02 10:22:06.957,28.9
,cash,Latte,2024-03-02,2024-03-02 10:30:35.668,40.0
ANON-0000-0000-0011,card,Americano with Milk,2024-03-02,2024-03-02 10:41:41.249,33.8
ANON-0000-0000-0012,card,Americano with Milk,2024-03-02,2024-03-02 11:59:45.484,33.8
ANON-0000-0000-0013,card,Americano,2024-03-02,2024-03-02 14:38:35.535,28.9
ANON-0000-0000-0014,card,Americano with Milk,2024-03-02,2024-03-02 16:37:24.475,33.8
ANON-0000-0000-0004,card,Americano,2024-03-02,2024-03-02 17:34:54.969,28.9
,cash,Latte,2024-03-03,2024-03-03 10:10:43.981,40.0
ANON-0000-0000-0015,card,Latte,2024-03-03,2024-03-03 10:27:18.561,38.7
ANON-0000-0000-0016,card,Cortado,2024-03-03,2024-03-03 11:33:56.118,28.9
ANON-0000-0000-0012,card,Americano,2024-03-03,2024-03-03 12:26:56.098,28.9
ANON-0000-0000-0017,card,Hot Chocolate,2024-03-03,2024-03-03 13:09:36.321,38.7
ANON-0000-0000-0018,card,Cocoa,2024-03-03,2024-03-03 17:06:40.271,38.7
ANON-0000-0000-0019,card,Cortado,2024-03-03,2024-03-03 17:08:45.895,28.9
ANON-0000-0000-0020,card,Americano with Milk,2024-03-03,2024-03-03 18:03:23.369,33.8
ANON-0000-0000-0020,card,Americano with Milk,2024-03-03,2024-03-03 18:04:27.946,33.8
ANON-0000-0000-0020,card,Hot Chocolate,2024-03-03,2024-03-03 18:08:04.959,38.7
ANON-0000-0000-0001,card,Latte,2024-03-04,2024-03-04 10:03:51.994,38.7
ANON-0000-0000-0021,card,Latte,2024-03-04,2024-03-04 10:54:50.958,38.7
ANON-0000-0000-0012,card,Americano with Milk,2024-03-04,2024-03-04 11:05:16.184,33.8
ANON-0000-0000-0022,card,Espresso,2024-03-04,2024-03-04 14:04:37.734,24.0
ANON-0000-0000-0001,card,Latte,2024-03-05,2024-03-05 09:59:52.651,38.7
ANON-0000-0000-0023,card,Latte,2024-03-05,2024-03-05 14:34:55.963,38.7
ANON-0000-0000-0024,card,Latte,2024-03-05,2024-03-05 17:34:06.043,38.7
ANON-0000-0000-0025,card,Hot Chocolate,2024-03-05,2024-03-05 17:35:25.021,38.7
ANON-0000-0000-0026,card,Cocoa,2024-03-05,2024-03-05 17:36:28.571,38.7
ANON-0000-0000-0027,card,Hot Chocolate,2024-03-05,2024-03-05 17:37:13.659,38.7
ANON-0000-0000-0009,card,Hot Chocolate,2024-03-05,2024-03-05 17:38:09.354,38.7
ANON-0000-0000-0028,card,Cortado,2024-03-05,2024-03-05 17:56:15.776,28.9
ANON-0000-0000-0028,card,Hot Chocolate,2024-03-05,2024-03-05 18:01:31.242,38.7
,cash,Americano with Milk,2024-03-06,2024-03-06 12:30:27.089,35.0
